SensorID,time,Temperature,Humidity,GatewayID,Battery
62211613,2022-06-01T13:20:52Z,26.1,41.0,0642184907900342,3.669
62211613,2022-06-01T13:21:55Z,26.1,41.0,0642184907900342,3.669
62211613,2022-06-01T13:22:58Z,26.1,41.0,0642184907900342,3.669
62211613,2022-06-01T13:24:00Z,26.1,41.0,0642184907900342,3.669
62211613,2022-06-01T13:25:03Z,26.1,41.0,0642184907900342,3.669
62211613,2022-06-01T13:26:06Z,26.1,41.0,0642184907900342,3.669
62211613,2022-06-01T13:26:37Z,26.1,41.0,0642184907900342,3.669
62211613,2022-06-01T13:27:40Z,26.0,41.0,0642184907900342,3.669
62211613,2022-06-01T13:28:42Z,26.0,41.0,0642184907900342,3.669
62211613,2022-06-01T13:29:45Z,26.0,41.0,0642184907900342,3.669
62211613,2022-06-01T13:30:47Z,26.0,41.0,0642184907900342,3.669
62211613,2022-06-01T13:31:50Z,26.0,41.0,0642184907900342,3.669
62211613,2022-06-01T13:32:53Z,26.0,41.0,0642184907900342,3.669
62211613,2022-06-01T13:33:24Z,26.0,41.0,0642184907900342,3.669
62211613,2022-06-01T13:34:27Z,26.0,41.0,0642184907900342,3.669
62211613,2022-06-01T13:35:29Z,26.0,41.0,0642184907900342,3.669
62211613,2022-06-01T13:36:32Z,26.0,41.0,0642184907900342,3.669
62211613,2022-06-01T13:37:35Z,26.0,41.0,0642184907900342,3.669
62211613,2022-06-01T13:38:37Z,25.9,41.0,0642184907900342,3.669
62211613,2022-06-01T13:39:09Z,25.9,41.0,0642184907900342,3.669
62211613,2022-06-01T13:40:11Z,25.9,41.0,0642184907900342,3.669
62211613,2022-06-01T13:41:14Z,25.9,41.0,0642184907900342,3.669
62211613,2022-06-01T13:42:16Z,25.9,41.0,0642184907900342,3.669
62211613,2022-06-01T13:43:19Z,25.9,41.0,0642184907900342,3.669
62211613,2022-06-01T13:44:22Z,25.9,41.0,0642184907900342,3.669
62211613,2022-06-01T13:44:53Z,25.9,41.0,0642184907900342,3.669
62211613,2022-06-01T13:45:56Z,25.9,41.0,0642184907900342,3.669
62211613,2022-06-01T13:46:58Z,25.9,41.0,0642184907900342,3.669
62211613,2022-06-01T13:48:01Z,25.9,41.0,0642184907900342,3.669
62211613,2022-06-01T13:49:04Z,25.8,41.0,0642184907900342,3.669
62211613,2022-06-01T13:50:06Z,25.8,41.0,0642184907900342,3.669
62211613,2022-06-01T13:50:37Z,25.8,41.0,0642184907900342,3.669
62211613,2022-06-01T13:51:40Z,25.8,41.0,0642184907900342,3.669
62211613,2022-06-01T13:52:43Z,25.8,41.0,0642184907900342,3.669
62211613,2022-06-01T13:53:45Z,25.8,41.0,0642184907900342,3.669
62211613,2022-06-01T13:54:48Z,25.8,41.0,0642184907900342,3.669
62211613,2022-06-01T13:55:51Z,25.8,41.0,0642184907900342,3.669
62211613,2022-06-01T13:56:22Z,25.8,41.0,0642184907900342,3.669
62211613,2022-06-01T13:57:25Z,25.8,41.0,0642184907900342,3.669
62211613,2022-06-01T13:58:27Z,25.8,41.0,0642184907900342,3.669
62211613,2022-06-01T13:59:30Z,25.7,41.0,0642184907900342,3.669
62211613,2022-06-01T14:00:33Z,25.7,41.0,0642184907900342,3.669
62211613,2022-06-01T14:01:35Z,25.7,41.0,0642184907900342,3.669
62211613,2022-06-01T14:02:06Z,25.7,41.0,0642184907900342,3.669
62211613,2022-06-01T14:03:09Z,25.7,41.0,0642184907900342,3.669
62211613,2022-06-01T14:04:12Z,25.7,41.0,0642184907900342,3.669
62211613,2022-06-01T14:05:14Z,25.7,41.0,0642184907900342,3.669
62211613,2022-06-01T14:06:17Z,25.7,41.0,0642184907900342,3.669
62211613,2022-06-01T14:07:20Z,25.7,41.0,0642184907900342,3.669
62211613,2022-06-01T14:07:51Z,25.7,41.0,0642184907900342,3.669
62211613,2022-06-01T14:08:54Z,25.7,41.0,0642184907900342,3.669
62211613,2022-06-01T14:09:56Z,25.7,41.0,0642184907900342,3.669
62211613,2022-06-01T14:10:59Z,25.7,41.0,0642184907900342,3.669
62211613,2022-06-01T14:12:01Z,25.6,41.0,0642184907900342,3.669
62211613,2022-06-01T14:13:04Z,25.6,41.0,0642184907900342,3.669
62211613,2022-06-01T14:13:35Z,25.6,41.0,0642184907900342,3.669
62211613,2022-06-01T14:14:38Z,25.6,41.0,0642184907900342,3.669
62211613,2022-06-01T14:15:41Z,25.6,41.0,0642184907900342,3.669
62211613,2022-06-01T14:16:43Z,25.6,41.0,0642184907900342,3.669
62211613,2022-06-01T14:17:46Z,25.6,41.0,0642184907900342,3.669
62211613,2022-06-01T14:18:49Z,25.6,41.0,0642184907900342,3.669
62211613,2022-06-01T14:19:51Z,25.6,41.0,0642184907900342,3.669
62211613,2022-06-01T14:20:23Z,25.6,41.0,0642184907900342,3.669
62211613,2022-06-01T14:21:25Z,25.6,41.0,0642184907900342,3.669
62211613,2022-06-01T14:22:28Z,25.6,41.0,0642184907900342,3.669
62211613,2022-06-01T14:23:30Z,25.6,41.0,0642184907900342,3.669
62211613,2022-06-01T14:24:33Z,25.6,41.0,0642184907900342,3.669
62211613,2022-06-01T14:25:36Z,25.6,41.0,0642184907900342,3.669
62211613,2022-06-01T14:26:07Z,25.6,41.0,0642184907900342,3.669
62211613,2022-06-01T14:27:10Z,25.6,41.0,0642184907900342,3.669
62211613,2022-06-01T14:28:12Z,25.6,41.0,0642184907900342,3.669
62211613,2022-06-01T14:29:15Z,25.6,41.0,0642184907900342,3.669
62211613,2022-06-01T14:30:18Z,25.6,41.0,0642184907900342,3.669
62211613,2022-06-01T14:31:20Z,25.6,41.0,0642184907900342,3.669
62211613,2022-06-01T14:31:52Z,25.6,41.0,0642184907900342,3.669
62211613,2022-06-01T14:32:54Z,25.6,41.0,0642184907900342,3.669
62211613,2022-06-01T14:33:57Z,25.6,41.0,0642184907900342,3.669
62211613,2022-06-01T14:34:59Z,25.5,41.0,0642184907900342,3.669
62211613,2022-06-01T14:36:02Z,25.5,41.0,0642184907900342,3.669
62211613,2022-06-01T14:37:05Z,25.5,41.0,0642184907900342,3.669
62211613,2022-06-01T14:37:36Z,25.5,41.0,0642184907900342,3.669
62211613,2022-06-01T14:38:39Z,25.5,41.0,0642184907900342,3.669
62211613,2022-06-01T14:39:41Z,25.5,41.0,0642184907900342,3.669
62211613,2022-06-01T14:40:44Z,25.5,41.0,0642184907900342,3.669
62211613,2022-06-01T14:41:47Z,25.5,41.0,0642184907900342,3.669
62211613,2022-06-01T14:42:49Z,25.5,41.0,0642184907900342,3.669
62211613,2022-06-01T14:43:21Z,25.5,41.0,0642184907900342,3.669
62211613,2022-06-01T14:44:23Z,25.5,41.0,0642184907900342,3.669
62211613,2022-06-01T14:45:26Z,25.5,41.0,0642184907900342,3.669
62211613,2022-06-01T14:46:28Z,25.5,41.0,0642184907900342,3.669
62211613,2022-06-01T14:47:31Z,25.5,41.0,0642184907900342,3.669
62211613,2022-06-01T14:48:34Z,25.5,41.0,0642184907900342,3.669
62211613,2022-06-01T14:49:05Z,25.5,41.0,0642184907900342,3.669
62211613,2022-06-01T14:50:08Z,25.5,41.0,0642184907900342,3.669
62211613,2022-06-01T14:51:10Z,25.5,41.0,0642184907900342,3.669
62211613,2022-06-01T14:52:13Z,25.5,41.0,0642184907900342,3.669
62211613,2022-06-01T14:53:16Z,25.5,41.0,0642184907900342,3.669
62211613,2022-06-01T14:54:18Z,25.5,41.0,0642184907900342,3.669
62211613,2022-06-01T14:54:49Z,25.5,41.0,0642184907900342,3.669
62211613,2022-06-01T14:55:52Z,25.5,41.0,0642184907900342,3.669
62211613,2022-06-01T14:56:55Z,25.5,41.0,0642184907900342,3.669
62211613,2022-06-01T14:57:57Z,25.5,41.0,0642184907900342,3.669
62211613,2022-06-01T14:59:00Z,25.5,41.0,0642184907900342,3.669
62211613,2022-06-01T15:00:03Z,25.5,41.0,0642184907900342,3.669
62211613,2022-06-01T15:00:34Z,25.5,41.0,0642184907900342,3.669
62211613,2022-06-01T15:01:37Z,25.5,41.0,0642184907900342,3.669
62211613,2022-06-01T15:02:39Z,25.5,41.0,0642184907900342,3.669
62211613,2022-06-01T15:03:42Z,25.5,41.0,0642184907900342,3.669
62211613,2022-06-01T15:04:44Z,25.5,41.0,0642184907900342,3.669
62211613,2022-06-01T15:05:47Z,25.5,41.0,0642184907900342,3.669
62211613,2022-06-01T15:06:18Z,25.5,41.0,0642184907900342,3.669
62211613,2022-06-01T15:07:21Z,25.5,41.0,0642184907900342,3.669
62211613,2022-06-01T15:08:24Z,25.5,41.0,0642184907900342,3.669
62211613,2022-06-01T15:09:26Z,25.5,41.0,0642184907900342,3.669
62211613,2022-06-01T15:10:29Z,25.5,41.0,0642184907900342,3.669
62211613,2022-06-01T15:12:03Z,25.5,41.0,0642184907900342,3.669
62211613,2022-06-01T15:13:06Z,25.5,41.0,0642184907900342,3.669
62211613,2022-06-01T15:14:08Z,25.5,41.0,0642184907900342,3.669
62211613,2022-06-01T15:15:11Z,25.5,41.0,0642184907900342,3.669
62211613,2022-06-01T15:16:13Z,25.5,41.0,0642184907900342,3.669
62211613,2022-06-01T15:17:16Z,25.5,41.0,0642184907900342,3.669
62211613,2022-06-01T15:17:47Z,25.4,41.0,0642184907900342,3.669
62211613,2022-06-01T15:18:50Z,25.4,41.0,0642184907900342,3.669
62211613,2022-06-01T15:19:53Z,25.4,41.0,0642184907900342,3.669
62211613,2022-06-01T15:20:55Z,25.4,41.0,0642184907900342,3.669
62211613,2022-06-01T15:21:58Z,25.4,41.0,0642184907900342,3.669
62211613,2022-06-01T15:23:01Z,25.4,41.0,0642184907900342,3.669
62211613,2022-06-01T15:23:32Z,25.4,41.0,0642184907900342,3.669
62211613,2022-06-01T15:24:35Z,25.4,41.0,0642184907900342,3.669
62211613,2022-06-01T15:25:37Z,25.4,41.0,0642184907900342,3.669
62211613,2022-06-01T15:26:40Z,25.4,41.0,0642184907900342,3.669
62211613,2022-06-01T15:27:42Z,25.3,41.0,0642184907900342,3.669
62211613,2022-06-01T15:28:45Z,25.3,41.0,0642184907900342,3.669
62211613,2022-06-01T15:29:16Z,25.3,41.0,0642184907900342,3.669
62211613,2022-06-01T15:30:19Z,25.3,41.0,0642184907900342,3.669
62211613,2022-06-01T15:31:22Z,25.3,41.0,0642184907900342,3.669
62211613,2022-06-01T15:32:24Z,25.3,41.0,0642184907900342,3.669
62211613,2022-06-01T15:33:27Z,25.3,41.0,0642184907900342,3.669
62211613,2022-06-01T15:34:30Z,25.3,41.0,0642184907900342,3.669
62211613,2022-06-01T15:35:01Z,25.3,41.0,0642184907900342,3.669
62211613,2022-06-01T15:36:04Z,25.3,41.0,0642184907900342,3.669
62211613,2022-06-01T15:37:06Z,25.2,41.0,0642184907900342,3.669
62211613,2022-06-01T15:38:09Z,25.2,41.0,0642184907900342,3.669
62211613,2022-06-01T15:39:11Z,25.2,41.0,0642184907900342,3.669
62211613,2022-06-01T15:40:14Z,25.2,41.0,0642184907900342,3.669
62211613,2022-06-01T15:41:17Z,25.2,41.0,0642184907900342,3.669
62211613,2022-06-01T15:41:48Z,25.2,41.0,0642184907900342,3.669
62211613,2022-06-01T15:42:51Z,25.2,41.0,0642184907900342,3.669
62211613,2022-06-01T15:43:53Z,25.2,41.0,0642184907900342,3.669
62211613,2022-06-01T15:44:56Z,25.2,41.0,0642184907900342,3.669
62211613,2022-06-01T15:45:59Z,25.2,41.0,0642184907900342,3.669
62211613,2022-06-01T15:46:30Z,25.1,41.0,0642184907900342,3.669
62211613,2022-06-01T15:47:32Z,25.1,41.0,0642184907900342,3.669
62211613,2022-06-01T15:48:35Z,25.1,41.0,0642184907900342,3.669
62211613,2022-06-01T15:49:38Z,25.1,41.0,0642184907900342,3.669
62211613,2022-06-01T15:50:40Z,25.1,41.0,0642184907900342,3.669
62211613,2022-06-01T15:51:43Z,25.1,41.0,0642184907900342,3.669
62211613,2022-06-01T15:52:46Z,25.1,41.0,0642184907900342,3.669
62211613,2022-06-01T15:53:17Z,25.1,41.0,0642184907900342,3.669
62211613,2022-06-01T15:54:20Z,25.1,41.0,0642184907900342,3.669
62211613,2022-06-01T15:55:22Z,25.1,41.0,0642184907900342,3.669
62211613,2022-06-01T15:56:25Z,25.1,41.0,0642184907900342,3.669
62211613,2022-06-01T15:57:28Z,25.1,41.0,0642184907900342,3.669
62211613,2022-06-01T15:58:30Z,25.0,41.0,0642184907900342,3.669
62211613,2022-06-01T15:59:01Z,25.0,41.0,0642184907900342,3.669
62211613,2022-06-01T16:00:04Z,25.0,41.0,0642184907900342,3.669
62211613,2022-06-01T16:01:07Z,25.0,41.0,0642184907900342,3.669
62211613,2022-06-01T16:02:09Z,25.0,41.0,0642184907900342,3.669
62211613,2022-06-01T16:03:12Z,25.0,41.0,0642184907900342,3.669
62211613,2022-06-01T16:04:15Z,25.0,41.0,0642184907900342,3.669
62211613,2022-06-01T16:04:46Z,25.0,41.0,0642184907900342,3.669
62211613,2022-06-01T16:05:49Z,25.0,41.0,0642184907900342,3.669
62211613,2022-06-01T16:06:51Z,25.0,41.0,0642184907900342,3.669
62211613,2022-06-01T16:07:54Z,25.0,41.0,0642184907900342,3.669
62211613,2022-06-01T16:08:56Z,25.0,41.0,0642184907900342,3.669
62211613,2022-06-01T16:09:59Z,25.0,41.0,0642184907900342,3.669
62211613,2022-06-01T16:10:30Z,25.0,41.0,0642184907900342,3.669
62211613,2022-06-01T16:11:33Z,25.0,41.0,0642184907900342,3.669
62211613,2022-06-01T16:12:36Z,25.0,41.0,0642184907900342,3.669
62211613,2022-06-01T16:13:38Z,24.9,41.0,0642184907900342,3.669
62211613,2022-06-01T16:14:41Z,24.9,41.0,0642184907900342,3.669
62211613,2022-06-01T16:16:46Z,24.9,41.0,0642184907900342,3.669
62211613,2022-06-01T16:17:18Z,24.9,41.0,0642184907900342,3.669
62211613,2022-06-01T16:18:20Z,24.9,41.0,0642184907900342,3.669
62211613,2022-06-01T16:19:23Z,24.9,41.0,0642184907900342,3.669
62211613,2022-06-01T16:20:25Z,24.9,41.0,0642184907900342,3.669
62211613,2022-06-01T16:21:28Z,24.9,41.0,0642184907900342,3.669
62211613,2022-06-01T16:21:59Z,24.9,41.0,0642184907900342,3.669
